RIS_name,mouse_symbol,Product,MGI,mouse_chr,retrovirus,transposon
ND,C530043G21Rik,RIKEN cDNA C530043G21 gene,MGI:2443990,chr1,0,1
ND,C6,complement component 6,MGI:88233,chr15,0,1
ND,C730027P07Rik,RIKEN cDNA C730027P07 gene,MGI:3041196,chr9,1,0
ND,C87436,expressed sequence C87436,MGI:2141787,chr6,1,0
ND,C8a,"complement component 8, alpha polypeptide",MGI:2668347,chr4,0,1
ND,C8b,"complement component 8, beta subunit",MGI:88236,chr4,1,0
ND,C9,complement component 9,MGI:1098282,chr15,1,0
ND,C920006C10Rik,RIKEN cDNA C920006C10 gene,MGI:1923990,chr15,0,2
ND,Cab39,calcium binding protein 39,MGI:107438,chr1,0,1
NKI-35,Cabp2,calcium binding protein 2,MGI:1352749,chr19,1,0
ND,Cacna1c,"calcium channel, voltage-dependent, L type, alpha 1C subunit",MGI:103013,chr6,1,0
ND,Cacna1e,"calcium channel, voltage-dependent, R type, alpha 1E subunit",MGI:106217,chr1,2,1
ND,Cacna1i,"calcium channel, voltage-dependent, alpha 1I subunit",MGI:2178051,chr15,1,1
ND,Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",MGI:1929813,chr9,0,1
ND,Cacna2d4,"calcium channel, voltage-dependent, alpha 2/delta subunit 4",MGI:2442632,chr6,0,1
ND,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit",MGI:103301,chr2,1,1
ND,Cacng3,"calcium channel, voltage-dependent, gamma subunit 3",MGI:1859165,chr7,1,0
ND,Cacng4,"calcium channel, voltage-dependent, gamma subunit 4",MGI:1859167,chr11,1,0
ND,Cadm1,cell adhesion molecule 1,MGI:1889272,chr9,1,1
Cadps2,Cadps2,Ca2+-dependent activator protein for secretion 2,MGI:2443963,chr6,0,3
ND,Calcrl,calcitonin receptor-like,MGI:1926944,chr2,1,0
Casvis17,Calml3,calmodulin-like 3,MGI:1917655,chr13,1,0
ND,Calr,calreticulin,MGI:88252,chr8,1,0
ND,Camk1,calcium/calmodulin-dependent protein kinase I,MGI:1098535,chr6,0,2
ND,Camk1d,calcium/calmodulin-dependent protein kinase ID,MGI:2442190,chr2,1,1
ND,Camk1g,calcium/calmodulin-dependent protein kinase I gamma,MGI:2388073,chr1,2,0
Btl53,Camk2b,"calcium/calmodulin-dependent protein kinase II, beta",MGI:88257,chr11,4,0
Evi55,Camk2d,"calcium/calmodulin-dependent protein kinase II, delta",MGI:1341265,chr3,5,0
NKI-16,Camkk2,"calcium/calmodulin-dependent protein kinase kinase 2, beta",MGI:2444812,chr5,4,0
ND,Camsap1l1,calmodulin regulated spectrin-associated protein 1-like 1,MGI:1922434,chr1,3,0
ND,Camta1,calmodulin binding transcription activator 1,MGI:2140230,chr4,1,1
ND,Cant1,calcium activated nucleotidase 1,MGI:1923275,chr11,1,0
Capg,Capg,"capping protein (actin filament), gelsolin-like",MGI:1098259,chr6,2,0
ND,Capn11,calpain 11,MGI:1352490,chr17,1,0
ND,Capn5,calpain 5,MGI:1100859,chr7,1,0
ND,Capn7,calpain 7,MGI:1338030,chr14,1,0
ND,Caprin1,cell cycle associated protein 1,MGI:1858234,chr2,1,0
ND,Capza2,"capping protein (actin filament) muscle Z-line, alpha 2",MGI:106222,chr6,1,1
ND,Capzb,"capping protein (actin filament) muscle Z-line, beta",MGI:104652,chr4,1,0
ND,Car12,carbonic anyhydrase 12,MGI:1923709,chr9,1,0
ND,Car5a,"carbonic anhydrase 5a, mitochondrial",MGI:101946,chr8,1,0
ND,Car6,carbonic anhydrase 6,MGI:1333786,chr4,1,0
ND,Car8,carbonic anhydrase 8,MGI:88253,chr4,0,1
ND,Carf,calcium response factor,MGI:2182269,chr1,0,1
ND,Casc3,cancer susceptibility candidate 3,MGI:2179723,chr11,1,0
ND,Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family),MGI:1309489,chrX,0,1
ND,Caskin1,CASK interacting protein 1,MGI:2442952,chr17,0,1
ND,Casp4,"caspase 4, apoptosis-related cysteine peptidase",MGI:107700,chr9,1,0
ND,Casp9,caspase 9,MGI:1277950,chr4,1,0
ND,Casz1,"castor homolog 1, zinc finger (Drosophila)",MGI:1196251,chr4,0,1
ND,Cat,catalase,MGI:88271,chr2,1,0
ND,Cav2,caveolin 2,MGI:107571,chr6,1,0
ND,Cbara1,calcium binding atopy-related autoantigen 1,MGI:2384909,chr10,1,1
Evi31,Cbfa2t3h,"core-binding factor, runt domain, alpha subunit 2, translocated to, 3 homolog (human)",MGI:1338013,chr8,9,0
ND,Cblb,Casitas B-lineage lymphoma b,MGI:2146430,chr16,0,1
ND,Cbln1,cerebellin 1 precursor protein,MGI:88281,chr8,1,0
ND,Cbr4,carbonyl reductase 4,MGI:2384567,chr8,1,0
Cbx4,Cbx4,chromobox homolog 4 (Drosophila Pc class),MGI:1195985,chr11,2,0
ND,Cbx5,chromobox homolog 5 (Drosophila HP1a),MGI:109372,chr15,1,0
ND,Cbx8,chromobox homolog 8 (Drosophila Pc class),MGI:1353589,chr11,2,0
ND,Ccbp2,chemokine binding protein 2,MGI:1891697,chr9,1,0
ND,Ccdc106,coiled-coil domain containing 106,MGI:2385900,chr7,1,0
ND,Ccdc109b,coiled-coil domain containing 109B,MGI:1914065,chr3,1,0
ND,Ccdc113,coiled-coil domain containing 113,MGI:3606076,chr8,0,1
ND,Ccdc117,coiled-coil domain containing 117,MGI:2144383,chr11,1,0
ND,Ccdc12,coiled-coil domain containing 12,MGI:1919904,chr9,3,0
ND,Ccdc122,coiled-coil domain containing 122,MGI:1918358,chr14,2,0
ND,Ccdc125,coiled-coil domain containing 125,MGI:1923291,chr13,1,0
ND,Ccdc126,coiled-coil domain containing 126,MGI:1889376,chr6,0,1
ND,Ccdc128,coiled-coil domain containing 128,MGI:1921075,chr17,1,0
Evi106,Ccdc139,coiled-coil domain containing 139,MGI:1921717,chr11,4,0
ND,Ccdc23,coiled-coil domain containing 23,MGI:1916466,chr4,1,0
ND,Ccdc25,coiled-coil domain containing 25,MGI:1914429,chr14,2,0
ND,Ccdc39,coiled-coil domain containing 39,MGI:1289263,chr3,1,0
ND,Ccdc42,coiled-coil domain containing 42,MGI:3045254,chr11,1,0
ND,Ccdc54,coiled-coil domain containing 54,MGI:1916589,chr16,1,0
ND,Ccdc57,coiled-coil domain containing 57,MGI:1918526,chr11,1,0
ND,Ccdc88c,coiled-coil domain containing 88C,MGI:1915589,chr12,1,0
ND,Ccdc90b,coiled-coil domain containing 90B,MGI:1913615,chr7,0,1
ND,Ccdc91,coiled-coil domain containing 91,MGI:1914265,chr6,0,2
ND,Ccdc93,coiled-coil domain containing 93,MGI:1918079,chr1,0,1
ND,Ccl20,chemokine (C-C motif) ligand 20,MGI:1329031,chr1,0,1
ND,Ccl25,chemokine (C-C motif) ligand 25,MGI:1099448,chr8,1,0
ND,Ccl4,chemokine (C-C motif) ligand 4,MGI:98261,chr11,1,0
ND,Ccl8,chemokine (C-C motif) ligand 8,MGI:101878,chr11,0,1
Ccnd1,Ccnd1,cyclin D1,MGI:88313,chr7,34,0
Ccnd2,Ccnd2,cyclin D2,MGI:88314,chr6,28,0
Ccnd3,Ccnd3,cyclin D3,MGI:88315,chr17,25,0
ND,Ccne1,cyclin E1,MGI:88316,chr7,1,0
ND,Ccnj,cyclin J,MGI:2443297,chr19,1,0
ND,Ccnjl,cyclin J-like,MGI:2685723,chr11,1,0
ND,Ccnl1,cyclin L1,MGI:1922664,chr3,0,1
ND,Ccnl2,cyclin L2,MGI:1927119,chr4,1,0
ND,Ccnt1,cyclin T1,MGI:1328363,chr15,0,1
ND,Ccny,cyclin Y,MGI:1915224,chr18,0,1
ND,Ccpg1,cell cycle progression 1,MGI:1196419,chr9,0,1
Ccr1,Ccr1,chemokine (C-C motif) receptor 1,MGI:104618,ND,3,0
ND,Ccr2,chemokine (C-C motif) receptor 2,MGI:106185,chr9,1,0
ND,Ccr4,chemokine (C-C motif) receptor 4,MGI:107824,chr9,1,0
Ccr7,Ccr7,chemokine (C-C motif) receptor 7,MGI:103011,chr11,8,0
ND,Ccr9,chemokine (C-C motif) receptor 9,MGI:1341902,chr9,2,0
ND,Ccrk,cell cycle related kinase,MGI:2145349,chr13,3,0
ND,Cct8,chaperonin subunit 8 (theta),MGI:107183,chr16,0,1
ND,Cd109,CD109 antigen,MGI:2445221,chr9,0,1
ND,Cd163l1,CD163 molecule-like 1,MGI:2443796,chr7,1,0
ND,Cd19,CD19 antigen,MGI:88319,chr7,1,0
ND,Cd2,CD2 antigen,MGI:88320,chr3,1,0
ND,Cd200,Cd200 antigen,MGI:1196990,chr16,1,0
ND,Cd244,CD244 natural killer cell receptor 2B4,MGI:109294,chr1,1,0
Casvis34,Cd24a,CD24a antigen,MGI:88323,chr10,1,0
ND,Cd27,CD antigen 27,MGI:88326,chr6,2,0
Evi139,Cd274,CD274 antigen,MGI:1926446,chr19,2,0
ND,Cd28,CD28 antigen,MGI:88327,chr1,1,0
ND,Cd2ap,CD2-associated protein,MGI:1330281,chr17,2,0
ND,Cd2bp2,CD2 antigen (cytoplasmic tail) binding protein 2,MGI:1917483,chr7,1,0
ND,Cd300lf,CD300 antigen like family member F,MGI:2442359,chr11,1,0
ND,Cd37,CD37 antigen,MGI:88330,chr7,3,0
ND,Cd3e,"CD3 antigen, epsilon polypeptide",MGI:88332,chr9,1,0
ND,Cd4,CD4 antigen,MGI:88335,chr6,0,1
Casvis38,Cd46,"CD46 antigen, complement regulatory protein",MGI:1203290,chr1,1,0
ND,Cd47,"CD47 antigen (Rh-related antigen, integrin-associated signal transducer)",MGI:96617,chr16,3,0
ND,Cd5,CD5 antigen,MGI:88340,chr19,1,0
Cd52,Cd52,CD52 antigen,MGI:1346088,chr4,6,0
ND,Cd55,CD55 antigen,MGI:104850,chr1,1,3
Dkmi29,Cd6,CD6 antigen,MGI:103566,chr19,4,0
NKI-19,Cd69,CD69 antigen,MGI:88343,chr6,2,0
ND,Cd82,CD82 antigen,MGI:104651,chr2,1,0
ND,Cd83,CD83 antigen,MGI:1328316,chr13,3,1
ND,Cd8b1,"CD8 antigen, beta chain 1",MGI:88347,chr6,1,0
ND,Cd97,CD97 antigen,MGI:1347095,chr8,4,0
ND,Cd99l2,Cd99 antigen-like 2,MGI:2177151,chrX,1,0
ND,Cdc14a,CDC14 cell division cycle 14 homolog A (S. cerevisiae),MGI:2442676,chr3,1,1
ND,Cdc2l6,cell division cycle 2-like 6 (CDK8-like),MGI:1925584,chr10,2,0
ND,Cdc42ep3,CDC42 effector protein (Rho GTPase binding) 3,MGI:2384718,chr17,1,1
ND,Cdc45l,cell division cycle 45 homolog (S. cerevisiae)-like,MGI:1338073,chr16,1,0
Cis10,Cdc6,cell division cycle 6 homolog (S. cerevisiae),MGI:1345150,chr11,1,0
ND,Cdc7,cell division cycle 7 (S. cerevisiae),MGI:1309511,chr5,1,0
ND,Cdc73,"Vcell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",MGI:2384876,chr1,0,1
ND,Cdh1,cadherin 1,MGI:88354,chr8,1,0
ND,Cdh10,cadherin 10,MGI:107436,chr15,0,1
ND,Cdh12,cadherin 12,MGI:109503,chr15,0,2
ND,Cdh13,cadherin 13,MGI:99551,chr8,0,1
ND,Cdh18,cadherin 18,MGI:1344366,chr15,0,2
ND,Cdh19,"cadherin 19, type 2",MGI:3588198,chr1,0,1
ND,Cdh20,cadherin 20,MGI:1346069,chr1,0,1
ND,Cdh22,cadherin 22,MGI:1341843,chr2,2,0
ND,Cdh23,cadherin 23 (otocadherin),MGI:1890219,chr10,2,0
ND,Cdh26,cadherin-like 26,MGI:2685856,chr2,1,0
ND,Cdh4,cadherin 4,MGI:99218,chr2,2,0
ND,Cdh5,cadherin 5,MGI:105057,chr8,1,0
ND,Cdh7,"cadherin 7, type 2",MGI:2442792,chr1,0,2
ND,Cdh8,cadherin 8,MGI:107434,chr8,0,1
ND,Cdk2,cyclin-dependent kinase 2,MGI:104772,chr10,1,0
ND,Cdk3,cyclin-dependent kinase 3,MGI:1916931,chr11,1,0
Cdk5r1,Cdk5r1,"cyclin-dependent kinase 5, regulatory subunit (p35) 1",MGI:101764,chr11,3,0
ND,Cdk5rap2,CDK5 regulatory subunit associated protein 2,MGI:2384875,chr4,1,1
Cdk6,Cdk6,cyclin-dependent kinase 6,MGI:1277162,chr5,2,0
ND,Cdk7,cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase),MGI:102956,chr13,1,0
ND,Cdk9,cyclin-dependent kinase 9 (CDC2-related kinase),MGI:1328368,chr2,1,0
E2f3,Cdkal1,CDK5 regulatory subunit associated protein 1-like 1,MGI:1921765,chr13,1,0
ND,Cdkn1b,cyclin-dependent kinase inhibitor 1B,MGI:104565,chr6,2,0
ND,Cdkn2aip,CDKN2A interacting protein,MGI:1918175,chr8,2,0
ND,Cdkn2b,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",MGI:104737,chr4,1,0
Cdkn2c,Cdkn2c,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",MGI:105388,chr4,2,0
ND,Cdkn2d,chemokine (C-C motif) receptor 1,MGI:104618,chr9,1,1
ND,Cdrt4,CMT1A duplicated region transcript 4,MGI:1913588,chr11,1,0
ND,Cds2,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2,MGI:1332236,chr2,1,0
Ris2,Cdt1,chromatin licensing and DNA replication factor 1,MGI:1914427,chr8,4,0
ND,Cdv3,carnitine deficiency-associated gene expressed in ventricle 3,MGI:2448759,chr9,2,0
ND,Cdx4,caudal type homeo box 4,MGI:88362,chrX,0,1
ND,Cdyl2,"chromodomain protein, Y chromosome-like 2",MGI:1923046,chr8,1,1
ND,Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha",MGI:99480,chr7,1,0
NKI-4,Cebpb,"CCAAT/enhancer binding protein (C/EBP), beta",MGI:88373,chr2,25,0
ND,Cebpe,"CCAAT/enhancer binding protein (C/EBP), epsilon",MGI:103572,chr14,2,0
ND,Cecr5,"cat eye syndrome chromosome region, candidate 5 homolog (human)",MGI:2136976,chr6,3,0
ND,Celsr1,cadherin EGF LAG seven-pass G-type receptor 1,MGI:1100883,chr15,0,1
ND,Cenpm,centromere protein M,MGI:1913820,chr15,0,1
ND,Cenpq,centromere protein Q,MGI:1933744,chr17,1,0
ND,Centb2,"centaurin, beta 2",MGI:1925868,chr16,1,0
ND,Centb5,"centaurin, beta 5",MGI:2153589,chr4,1,0
Centd1,Centd1,"centaurin, delta 1",MGI:2684416,chr5,2,0
ND,Centg2,"centaurin, gamma 2",MGI:2653690,chr1,1,0
ND,Cep27,centrosomal protein 27,MGI:1913546,chr2,1,0
ND,Ces6,carboxylesterase 6,MGI:2142491,chr8,0,1
ND,Cfh,complement component factor h,MGI:88385,chr1,0,1
ND,Cftr,cystic fibrosis transmembrane conductance regulator homolog,MGI:88388,chr6,1,0
ND,Ch25h,cholesterol 25-hydroxylase,MGI:1333869,chr19,2,0
ND,Chchd7,coiled-coil-helix-coiled-coil-helix domain containing 7,MGI:1913683,chr4,1,0
ND,Chchd8,coiled-coil-helix-coiled-coil-helix domain containing 8,MGI:1915435,chr7,1,0
ND,Chd1,chromodomain helicase DNA binding protein 1,MGI:88393,chr17,1,0
ND,Chd1l,chromodomain helicase DNA binding protein 1-like,MGI:1915308,chr3,0,1
ND,Chd2,chromodomain helicase DNA binding protein 2,MGI:2448567,chr7,8,0
ND,Chd4,chromodomain helicase DNA binding protein 4,MGI:1344380,chr6,3,0
ND,Chd7,chromodomain helicase DNA binding protein 7,MGI:2444748,chr4,1,0
Dkmi15,Chd9,chromodomain helicase DNA binding protein 9,MGI:1924001,chr8,3,0
ND,Chl1,cell adhesion molecule with homology to L1CAM,MGI:1098266,chr6,0,1
ND,Chordc1,"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1",MGI:1914167,chr9,1,0
ND,Chrm3,"cholinergic receptor, muscarinic 3, cardiac",MGI:88398,chr13,1,0
ND,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",MGI:87888,chr2,1,0
ND,Chrna9,"cholinergic receptor, nicotinic, alpha polypeptide 9",MGI:1202403,chr5,1,0
ND,Chst1,carbohydrate (keratan sulfate Gal-6) sulfotransferase 1,MGI:1924219,chr2,1,0
ND,Chst10,carbohydrate sulfotransferase 10,MGI:2138283,chr1,0,1
ND,Chst11,carbohydrate sulfotransferase 11,MGI:1927166,chr10,2,0
ND,Chst3,carbohydrate (chondroitin 6/keratan) sulfotransferase 3,MGI:1858224,chr10,2,0
ND,Chsy1,carbohydrate (chondroitin) synthase 1,MGI:2681120,chr7,0,1
ND,Cidea,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A",MGI:1270845,chr18,0,1
ND,Ciita,class II transactivator,MGI:108445,chr16,2,0
NC_042,Cirbp,cold inducible RNA binding protein,MGI:893588,chr10,4,0
ND,Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,MGI:108023,chrX,1,0
ND,Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",MGI:1306784,chr10,2,0
ND,Ckap5,cytoskeleton associated protein 5,MGI:1923036,chr2,0,1
ND,Cks2,CDC28 protein kinase regulatory subunit 2,MGI:1913447,chr13,1,0
ND,Clca1,chloride channel calcium activated 1,MGI:1316732,chr3,0,1
ND,Clca3,chloride channel calcium activated 3,MGI:1346342,chr3,0,1
ND,Clcf1,cardiotrophin-like cytokine factor 1,MGI:1930088,chr19,1,0
Cldn10,Cldn10,claudin 10,MGI:1913101,chr14,2,0
ND,Cldn15,claudin 15,MGI:1913103,chr5,1,0
ND,Cldn5,claudin 5,MGI:1276112,chr16,1,0
ND,Clec16a,"C-type lectin domain family 16, member A",MGI:1921624,chr16,1,0
ND,Clec2d,"C-type lectin domain family 2, member d",MGI:2135589,chr6,1,0
ND,Clec2h,"C-type lectin domain family 2, member h",MGI:2136934,chr6,0,1
ND,Clec2i,"C-type lectin domain family 2, member i",MGI:2136650,chr6,1,0
ND,Clec4a1,"C-type lectin domain family 4, member a1",MGI:3036291,chr6,1,0
ND,Clec4g,"C-type lectin domain family 4, member g",MGI:1923113,chr8,2,0
NKI-11,Clic4,chloride intracellular channel 4 (mitochondrial),MGI:1352754,chr4,5,0
ND,Clip1,CAP-GLY domain containing linker protein 1,MGI:1928401,chr5,1,0
ND,Clip2,CAP-GLY domain containing linker protein 2,MGI:1313136,chr5,1,0
ND,Clk1,CDC-like kinase 1,MGI:107403,chr1,1,0
ND,Cln5,"ceroid-lipofuscinosis, neuronal 5",MGI:2442253,chr14,1,0
ND,Clpx,caseinolytic peptidase X (E.coli),MGI:1346017,chr9,1,0
ND,Clstn1,calsyntenin 1,MGI:1929895,chr4,0,1
ND,Clta,"clathrin, light polypeptide (Lca)",MGI:894297,chr4,1,0
ND,Cltb,"clathrin, light polypeptide (Lcb)",MGI:1921575,chr13,1,0
ND,Clybl,citrate lyase beta like,MGI:1916884,chr14,1,0
ND,Cmah,cytidine monophospho-N-acetylneuraminic acid hydroxylase,MGI:103227,chr13,2,0
ND,Cml1,camello-like 1,MGI:1913366,chr6,1,0
ND,Cmpk,cytidylate kinase,MGI:1913838,chr4,0,1
ND,Cmtm5,CKLF-like MARVEL transmembrane domain containing 5,MGI:2447164,chr14,1,0
Evi100,Cmtm7,CKLF-like MARVEL transmembrane domain containing 7,MGI:2447166,chr9,3,0
ND,Cnbp2,cellular nucleic acid binding protein 2,MGI:1922314,chrX,1,0
ND,Cnga1,cyclic nucleotide gated channel alpha 1,MGI:88436,chr5,1,0
ND,Cnih3,cornichon homolog 3 (Drosophila),MGI:1920228,chr1,0,1
ND,Cnksr3,Cnksr family member 3,MGI:2674130,chr10,1,0
ND,Cnn2,calponin 2,MGI:105093,chr10,1,0
ND,Cnnm3,cyclin M3,MGI:2151055,chr1,0,1
ND,Cnr1,cannabinoid receptor 1 (brain),MGI:104615,chr4,1,0
NKI-12,Cnr2,cannabinoid receptor 2 (macrophage),MGI:104650,chr4,11,0
ND,Cntn1,contactin 1,MGI:105980,chr15,1,1
ND,Cntn3,contactin 3,MGI:99534,chr6,0,1
ND,Cntn4,contactin 4,MGI:1095737,chr6,0,1
ND,Cntn6,contactin 6,MGI:1858223,chr6,1,1
ND,Cntnap3,contactin associated protein-like 3,MGI:3588199,chr13,0,3
ND,Cntnap4,contactin associated protein-like 4,MGI:2183572,chr8,1,0
ND,Cntnap5a,contactin associated protein-like 5A,MGI:3643623,chr1,0,2
ND,Cog3,component of oligomeric golgi complex 3,MGI:2450151,chr14,1,0
ND,Col15a1,"procollagen, type XV",MGI:88449,chr4,1,1
ND,Col16a1,"procollagen, type XVI, alpha 1",MGI:1095396,chr4,1,1
ND,Col18a1,"procollagen, type XVIII, alpha 1",MGI:88451,chr10,1,0
ND,Col19a1,"procollagen, type XIX, alpha 1",MGI:1095415,chr1,0,1
ND,Col1a2,"procollagen, type I, alpha 2",MGI:88468,chr6,0,1
ND,Col24a1,"procollagen, type XXIV, alpha 1",MGI:1918605,chr3,0,1
Dkmi23,Col5a2,"procollagen, type V, alpha 2",MGI:88458,chr1,1,0
ND,Col5a3,"procollagen, type V, alpha 3",MGI:1858212,chr9,1,0
ND,Colec10,collectin sub-family member 10,MGI:3606482,chr15,1,0
ND,Colq,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,MGI:1338761,chr14,1,0
ND,Copa,coatomer protein complex subunit alpha,MGI:1334462,chr1,1,0
ND,Copg,"coatomer protein complex, subunit gamma",MGI:1858696,chr6,1,0
ND,Cops7a,"COP9 (constitutive photomorphogenic) homolog, subunit 7a (Arabidopsis thaliana)",MGI:1349400,chr6,1,0
ND,Cops8,"COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana)",MGI:1915363,chr1,3,0
ND,Coq10a,coenzyme Q10 homolog A (yeast),MGI:2684847,chr10,1,0
ND,Coq2,"coenzyme Q2 homolog, prenyltransferase (yeast)",MGI:1919133,chr5,1,0
ND,Coq3,"coenzyme Q3 homolog, methyltransferase (yeast)",MGI:101813,chr4,1,0
ND,Coq5,"coenzyme Q5 homolog, methyltransferase (yeast)",MGI:1098643,chr5,1,0
ND,Corin,corin,MGI:1349451,chr5,1,0
Evi20,Coro1a,"coronin, actin binding protein 1A",MGI:1345961,chr7,4,0
Evi65,Coro1c,"coronin, actin binding protein 1C",MGI:1345964,chr5,2,0
Coro2a,Coro2a,"coronin, actin binding protein 2A",MGI:1345966,chr4,2,0
ND,Coro2b,"coronin, actin binding protein, 2B",MGI:2444283,chr9,4,0
ND,Coro6,"coronin, actin binding protein 6",MGI:2183448,chr11,1,0
ND,Coro7,coronin 7,MGI:1926135,chr16,3,0
Evi95,Cotl1,coactosin-like 1 (Dictyostelium),MGI:1919292,chr8,2,0
ND,Cox10,"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)",MGI:1917633,chr11,0,1
ND,Cox15,"COX15 homolog, cytochrome c oxidase assembly protein (yeast)",MGI:1920112,chr19,1,0
2810437L13Rik,Cox19,COX19 cytochrome c oxidase assembly homolog (S. cerevisiae),MGI:1915283,chr5,4,0
ND,Cox4nb,COX4 neighbor,MGI:1343095,chr8,0,1
ND,Cox6c,"cytochrome c oxidase, subunit VIc",MGI:104614,chr15,0,1
ND,Cox7c,"cytochrome c oxidase, subunit VIIc",MGI:103226,chr13,1,0
ND,Cpa5,carboxypeptidase A5,MGI:1921899,chr6,1,0
ND,Cpa6,carboxypeptidase A6,MGI:3045348,chr1,0,2
ND,Cpeb1,cytoplasmic polyadenylation element binding protein 1,MGI:108442,chr7,1,1
ND,Cpeb2,cytoplasmic polyadenylation element binding protein 2,MGI:2442640,chr5,0,2
Evi120,Cplx2,complexin 2,MGI:104726,chr13,3,0
ND,Cpne4,copine IV,MGI:1921270,chr9,1,0
ND,Cpne5,copine V,MGI:2385908,chr17,2,0
ND,Cpne8,copine VIII,MGI:1914121,chr15,1,0
ND,Cpsf2,cleavage and polyadenylation specific factor 2,MGI:1861601,chr12,1,0
ND,Cpsf6,cleavage and polyadenylation specific factor 6,MGI:1913948,chr10,1,0
ND,Cpt1a,"carnitine palmitoyltransferase 1a, liver",MGI:1098296,chr19,1,0
Crb2,Crb2,crumbs homolog 2 (Drosophila),MGI:2679260,chr2,5,0
ND,Creb1,cAMP responsive element binding protein 1,MGI:88494,chr1,2,0
ND,Creb3l2,cAMP responsive element binding protein 3-like 2,MGI:2442695,chr6,2,0
ND,Creb5,cAMP responsive element binding protein 5,MGI:2443973,chr6,0,1
ND,Crebbp,CREB binding protein,MGI:1098280,chr16,0,1
ND,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),MGI:1354756,chr17,1,0
Evi117,Crip2,cysteine rich protein 2,MGI:1915587,chr12,4,0
ND,Crisp3,cysteine-rich secretory protein 3,MGI:102552,chr17,1,0
ND,Crispld2,cysteine-rich secretory protein LCCL domain containing 2,MGI:1926142,chr8,1,0
ND,Crmp1,collapsin response mediator protein 1,MGI:107793,chr5,1,0
ND,Crnn,cornulin,MGI:2685861,chr3,0,1
ND,Crp,"C-reactive protein, pentraxin-related",MGI:88512,chr1,0,1
Evi41,Crry ,complement receptor related protein,MGI:88513 ,chr1,2,0
Evi41, Cr2,complement receptor 2,MGI:88489,chr1,2,0
ND,Crtc3,CREB regulated transcription coactivator 3,MGI:1917711,chr7,2,0
Cryaa,Cryaa,"crystallin, alpha A",MGI:88515,chr17,5,0
ND,Cryba4,"crystallin, beta A4",MGI:102716,chr5,1,0
ND,Crybb1,"crystallin, beta B1",MGI:104992,chr5,1,0
ND,Crygf,"crystallin, gamma F",MGI:88526,chr1,0,1
ND,Crygn,"crystallin, gamma N",MGI:2449167,chr5,1,0
ND,Cryz,"crystallin, zeta",MGI:88527,chr3,1,0
ND,Csf1r,colony stimulating factor 1 receptor,MGI:1339758,chr18,1,0
Csf3r,Csf3r,colony stimulating factor 3 receptor (granulocyte),MGI:1339755,chr4,1,2
ND,Csk,c-src tyrosine kinase,MGI:88537,chr9,2,0
ND,Csmd3,CUB and Sushi multiple domains 3,MGI:2386403,chr15,0,8
ND,Csn3,casein kappa,MGI:107461,chr5,0,1
ND,Csnk1g2,"casein kinase 1, gamma 2",MGI:1920014,chr10,2,0
ND,Csnk1g3,"casein kinase 1, gamma 3",MGI:1917675,chr18,2,0
Btl49,Cspg4,chondroitin sulfate proteoglycan 4,MGI:2153093,chr9,3,0
ND,Csrp2,cysteine and glycine-rich protein 2,MGI:1202907,chr10,1,0
Csrp2bp,Csrp2bp,cysteine and glycine-rich protein 2 binding protein,MGI:1917264,chr2,0,2
ND,Cstad,"CSA-conditional, T cell activation-dependent protein",MGI:1925867,chr2,13,1
ND,Cstf2,"cleavage stimulation factor, 3' pre-RNA subunit 2",MGI:1343054,chrX,1,0
Casvis16,Ctbp1,C-terminal binding protein 1,MGI:1201685,chr5,1,0
ND,Ctbp2,C-terminal binding protein 2,MGI:1201686,chr7,3,0
ND,Ctcf,CCCTC-binding factor,MGI:109447,chr8,1,0
ND,Ctdsp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1",MGI:2654470,chr1,1,0
ND,Ctnnal1,"catenin (cadherin associated protein), alpha-like 1",MGI:1859649,chr4,1,1
ND,Ctnnb1,"catenin (cadherin associated protein), beta 1",MGI:88276,ND,1,0
ND,Ctnnbip1,catenin beta interacting protein 1,MGI:1915756,chr4,0,2
ND,Ctnnbl1,"catenin, beta like 1",MGI:1913892,chr2,1,1
